"Date","Name","dividends","GewinnProz","bestPerformance","worstPerformance","kgv","kuv","kbv","EKQuote","FKQuote"
"2017-12-28","SAP","1.4","-5.921822408369602","13.902704112580366","-6.43746799078162","30.884868092105265","5.102717336956522","4.957233315733896","59.57","40.38"
"2018-08-28","SAP","1.5","4.002298850970905","26.639991189038568","-0.24832378935024657","31.08333392857143","5.334014402451482","4.86446213320913","60.03","39.9"
"2018-10-01","SAP","1.5","1.5748040869891171","29.35612793311353","-1.038963792978742","31.750000000000004","5.448416751787539","4.96879366557988","60.03","39.9"
"2019-07-15","SAP","3.16","15.71404901522071","44.01613198947059","-2.3798030803940273","35.50292339181287","5.868535427742871","5.848747495183044","55.99","43.92"
"2019-08-28","SAP","3.16","33.42045462788123","27.054922952316996","-13.876824582975356","31.321638304093568","5.177380521991299","5.159923073217726","55.99","43.92"
"2019-10-01","SAP","3.16","28.11155129972346","26.74653485343459","-14.085863018633138","31.24561432748538","5.164813968100531","5.147398892100192","55.99","43.92"
"2020-03-31","SAP","3.16","4.649800447963025","17.31143046826762","-20.580963062716883","36.978418345323746","4.454072920277297","4.380059778440563","51.06","48.81"
"2020-07-15","SAP","1.85","-7.346726586478139","56.72714903778897","-0.13089586588435065","49.40287625899281","5.950606412478337","5.8517254367277385","51.06","48.81"
"2020-10-01","SAP","1.85","-11.686856898203345","52.61897703819389","-5.989027343913522","48.1079154676259","5.79462759965338","5.698338517256071","51.06","48.81"
"2020-12-28","SAP","1.85","20.397106775658244","20.11868721164054","-26.008712428255045","37.86331007194245","4.560658665511266","4.484874392841926","51.06","48.81"
"2016-03-31","Adidas","1.6","74.66019708737865","61.74623115577889","-1.5296348284824957","31.212121212121215","1.2272131538186584","3.639575971731449","42.46","57.67"
"2016-12-28","Adidas","2","15.68761018675722","76.45297219123928","-7.68025078369906","44.621212121212125","1.7544382223281305","5.203180212014134","42.46","57.67"
"2017-08-28","Adidas","5.2","19.212084956091445","40.6985628101419","-7.326828817106701","36.476378543307085","1.9801239901688397","5.768991376089664","42.65","57.47"
"2017-12-28","Adidas","5.2","11.43450389897817","17.072324400438287","-15.803946723740125","33.139764960629925","1.7989955759777732","5.241282876712329","42.65","57.47"
"2018-08-28","Adidas","3.35","24.524804699000534","29.62740671733437","0","32.242152017937215","2.0762344498989314","6.817319753476611","44.42","55.69"
"2018-10-01","Adidas","3.35","33.55940504827776","28.48558335885518","-1.0185171296296258","31.95814693572496","2.0579459331985754","6.757269374209861","44.42","55.69"
"2019-07-15","Adidas","3.85","-11.611633633633165","54.69183604580223","-1.1004635668954155","33.00947938388626","2.5684521618880796","8.700812179887569","40.85","59.24"
"2019-08-28","Adidas","3.85","-3.1668237511781343","47.279284377147654","-10.49434971160419","31.427725118483416","2.4453766018253895","8.283885071830106","40.85","59.24"
"2019-10-01","Adidas","3.85","0.19489084926048028","56.69072881652208","-4.774757453522705","33.436020379146925","2.6016411173596388","8.813242098688319","40.85","59.24"
"2020-03-31","Adidas","3.85","31.15591057278031","23.352502077072867","-34.85207979188406","20.5899994","1.7211401320738946","5.937139388696655","32.86","65.88"
"2020-07-15","Adidas","3","31.538784609045834","45.21926486004391","-23.303273784652067","24.2399994","2.026247546602023","6.989619204152249","32.86","65.88"
"2020-10-01","Adidas","3","-2.025813596826392","67.08602764301494","-11.754467777420064","27.8899994","2.331354961130151","8.042099019607843","32.86","65.88"
"2020-12-28","Adidas","3","-13.798860559927583","79.3074476312898","-5.299794537565372","29.9299988","2.501880698821366","8.630334140715108","32.86","65.88"
"2017-05-01","Starbucks","1.1","-1.5785958790295773","16.244929495847018","-2.24171698762643","31.50785340314136","4.199581297976273","15.35204081632653","41.06","58.89"
"2017-08-28","Starbucks","1.2599999999999998","-0.165446685093874","5.080166119374141","-15.75034536162303","28.481676439790576","3.7962318213538033","13.877551530612246","41.06","58.89"
"2017-12-28","Starbucks","1.3199999999999998","11.9356476053339","9.696394502914707","-10.46925662072169","30.267016230366494","4.034194068387997","14.747449234693878","41.06","58.89"
"2018-05-01","Starbucks","1.38","35.730252266811426","10.303605117578641","-9.97367043518661","29.211055778894472","3.7943864882506526","14.424317866004962","37.94","62.01"
"2018-08-28","Starbucks","1.44","85.69274619590472","9.291301827538078","-14.005511655138791","26.658290954773868","3.4627936684073104","13.16377146401985","37.94","62.01"
"2018-10-01","Starbucks","1.44","58.24037213960517","14.503504027533909","-9.904355809764242","27.929649246231158","3.627937467362924","13.791563771712157","37.94","62.01"
"2019-05-01","Starbucks","1.5399999999999998","-2.8250723487515095","59.703327983038164","-0.20597708547889226","23.70642110091743","4.372250253807107","20.34645590551181","4.84","95.13"
"2019-07-15","Starbucks","1.5899999999999999","-14.374448120033362","77.09684541347477","0","27.571866666666665","5.085166610265087","23.664043044619422","4.84","95.13"
"2019-08-28","Starbucks","1.64","-10.744823323374877","82.97832578658483","-2.0583200276630076","29.685015290519875","5.474901297236322","25.47769028871391","4.84","95.13"
"2019-10-01","Starbucks","1.64","2.161595141334062","57.69230846350148","-12.713145871121522","26.455658103975534","4.87930073322053","22.706037270341206","4.84","95.13"
"2020-03-31","Starbucks","1.72","68.83176205755285","16.705122786965276","-33.66966266098614","22.28474508474576","3.0590971614704516","73.86516629213483","0","100"
"2020-07-15","Starbucks","1.76","59.67464542157591","34.22687433953935","-23.7110279113003","25.63050881355932","3.518380688692415","84.95505730337078","0","100"
"2020-10-01","Starbucks","1.8","32.25732147238464","53.98543390784896","-7.477335466666668","29.40338915254237","4.036295858538856","97.46067191011235","0","100"
"2020-12-28","Starbucks","1.84","12.526360457211435","85.2298815824647","-0.9963023151750905","35.36949016949152","4.855281340158213","117.23595056179775","0","100"
"2016-03-31","Coca-Cola","1.42","-5.453761704112136","22.111072802786392","-0.40790680945010926","27.44970355029586","4.67641118951613","7.849407614213198","28.36","71.4"
"2016-12-28","Coca-Cola","1.48","14.037212226074228","3.037094998112777","-11.729580117926641","24.491123668639055","4.172378931451613","7.003383925549916","28.36","71.4"
"2017-05-01","Coca-Cola","1.5","2.012954604050101","7.592738739991978","-6.023050401258933","28.62251721854305","4.559071835443038","8.03345743494424","26.43","73.39"
